ID,year,month,allocateAmount,currency_code,notes,category_ID,createdAt,createdBy,modifiedAt,modifiedBy
19934f79-f766-480a-a6aa-18782ebdfdc9,2026,7,1200.00,EUR,Monthly rent budget,bc4a21e7-47fe-4b52-8f6e-2ce1cfe7d114,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
fe74700e-e1b3-426f-b9fb-1316364e6596,2026,7,500.00,EUR,Groceries and food budget,0d87e9e6-9de2-4c76-b9c2-8fc6b582d8a1,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
ddafbdd1-e4b9-4712-b59c-eab93b9808bf,2026,7,200.00,EUR,Utilities budget,e07a1b58-62fb-4a68-9a71-dedfe92ced31,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
cebe2117-5e02-459c-939f-1fb1b538533e,2026,7,150.00,EUR,Transportation budget,6e9f63f3-d94f-4729-8e4b-f2391f52f616,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
d52df86a-a811-4f0c-8879-b4d1295c94fa,2026,7,150.00,EUR,Shopping budget,4cc3b06a-e853-43aa-a3f7-d6e1c1775b64,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
f0b672de-5543-4c41-a587-bc34384f7935,2026,8,1200.00,EUR,Monthly rent budget,bc4a21e7-47fe-4b52-8f6e-2ce1cfe7d114,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
bc54d880-e841-4596-9208-cdd6fde59033,2026,8,500.00,EUR,Groceries and food budget,0d87e9e6-9de2-4c76-b9c2-8fc6b582d8a1,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
afb7ad4b-3927-4502-8858-6517a0c1146e,2026,8,200.00,EUR,Utilities budget,e07a1b58-62fb-4a68-9a71-dedfe92ced31,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
b5863b6b-251c-490b-b3dc-69dab2ea8e20,2026,8,150.00,EUR,Transportation budget,6e9f63f3-d94f-4729-8e4b-f2391f52f616,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
79dac16a-c560-48ec-ac2c-e93417d211d3,2026,8,200.00,EUR,Shopping budget,4cc3b06a-e853-43aa-a3f7-d6e1c1775b64,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
68514fff-86ee-46c7-a05b-3d7a05ae215c,2026,9,1200.00,EUR,Monthly rent budget,bc4a21e7-47fe-4b52-8f6e-2ce1cfe7d114,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
ac5d3ae3-6f31-4c4d-a5c7-b38f65f22166,2026,9,500.00,EUR,Groceries and food budget,0d87e9e6-9de2-4c76-b9c2-8fc6b582d8a1,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
dddf7da0-4e03-44e0-a75e-38270e7ff42a,2026,9,200.00,EUR,Utilities budget,e07a1b58-62fb-4a68-9a71-dedfe92ced31,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
64d937b0-2eac-4eca-8470-261a26b6c414,2026,9,150.00,EUR,Transportation budget,6e9f63f3-d94f-4729-8e4b-f2391f52f616,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
5d79eafa-ecf8-46a5-b602-a33aed79bf5a,2026,9,250.00,EUR,Shopping budget,4cc3b06a-e853-43aa-a3f7-d6e1c1775b64,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
