ID,transactionDate,amount,currency_code,description,status,category_ID,recurringPlan_ID,createdAt,createdBy,modifiedAt,modifiedBy
db9be54d-ea57-452d-bbd6-e24ca797563c,2026-07-01,1200.00,EUR,July apartment rent,C,bc4a21e7-47fe-4b52-8f6e-2ce1cfe7d114,27775edd-d3e2-471d-874e-0dbf41ef3ff5,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
6e7ac028-56c5-4a61-82a9-581e7e28e86b,2026-07-05,86.40,EUR,REWE groceries,C,0d87e9e6-9de2-4c76-b9c2-8fc6b582d8a1,,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
1cec2a6d-48a3-4513-9879-a520631188ed,2026-07-14,49.99,EUR,Internet contract,C,e07a1b58-62fb-4a68-9a71-dedfe92ced31,b78d74e5-2731-4bb9-881c-faf14b0fad8e,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
02040336-68f6-4c46-bed8-184d95fc1197,2026-07-20,118.75,EUR,Groceries and household items,C,0d87e9e6-9de2-4c76-b9c2-8fc6b582d8a1,,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
d62fdbbe-208b-493a-a580-1ea3e3aef925,2026-07-28,4200.00,EUR,July salary,C,41e4f117-b64a-40db-bcec-eb3143c80b2e,4b409dc6-7fef-4535-a2f3-23433f2edb54,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
38f591fe-7a93-4840-a3a2-5b83955e98a2,2026-08-01,1200.00,EUR,August apartment rent,C,bc4a21e7-47fe-4b52-8f6e-2ce1cfe7d114,27775edd-d3e2-471d-874e-0dbf41ef3ff5,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
39c256af-2aca-469d-9ca8-96f3b2f5c4f3,2026-08-06,92.50,EUR,EDEKA groceries,C,0d87e9e6-9de2-4c76-b9c2-8fc6b582d8a1,,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
b518921f-ab51-4141-a148-54e8cb8e51f5,2026-08-15,49.99,EUR,Internet contract,C,e07a1b58-62fb-4a68-9a71-dedfe92ced31,b78d74e5-2731-4bb9-881c-faf14b0fad8e,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
cdea6620-ba74-4f1c-b087-866215fa4a3d,2026-08-18,76.40,EUR,Deutschlandticket,C,6e9f63f3-d94f-4729-8e4b-f2391f52f616,,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
15e0a909-64e0-4392-9aca-23ffaf5af438,2026-08-28,4200.00,EUR,August salary,C,41e4f117-b64a-40db-bcec-eb3143c80b2e,4b409dc6-7fef-4535-a2f3-23433f2edb54,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
8975630e-58b4-4306-8d4f-8656ea72a444,2026-09-01,1200.00,EUR,September apartment rent,C,bc4a21e7-47fe-4b52-8f6e-2ce1cfe7d114,27775edd-d3e2-471d-874e-0dbf41ef3ff5,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
53ccf4fe-bf29-4f41-b8dd-b35b98b1e30a,2026-09-03,112.30,EUR,REWE groceries,C,0d87e9e6-9de2-4c76-b9c2-8fc6b582d8a1,,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
7ba724c1-c03d-4e39-8f69-ba383ed85514,2026-09-05,59.99,EUR,New shoes,C,4cc3b06a-e853-43aa-a3f7-d6e1c1775b64,,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
ceed0ce0-4720-4615-bb53-d6182bd3d2e5,2026-09-07,45.20,EUR,Fuel,C,6e9f63f3-d94f-4729-8e4b-f2391f52f616,,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
0d67a73d-b067-4d94-bfca-fa11bbabc2de,2026-09-15,49.99,EUR,Internet contract,P,e07a1b58-62fb-4a68-9a71-dedfe92ced31,b78d74e5-2731-4bb9-881c-faf14b0fad8e,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
10f84728-11a1-4fb5-a9fd-ecd7b01dccdc,2026-09-28,4200.00,EUR,September salary,P,41e4f117-b64a-40db-bcec-eb3143c80b2e,4b409dc6-7fef-4535-a2f3-23433f2edb54,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
2a6d4818-d8de-41b6-bc7c-57a974d8b6bc,2026-09-06,84.75,EUR,Restaurant dinner,X,8b1eb39a-83d8-47ec-9e51-f3987a8a2f4c,,2026-09-08T17:15:42Z,rpoothineedi,2026-09-08T17:15:42Z,rpoothineedi
