ID,name,type,description,icon,color,mandatory,active,createdAt,createdBy,modifiedAt,modifiedBy
0d87e9e6-9de2-4c76-b9c2-8fc6b582d8a1,Food & Groceries,2,Food and everyday grocery expenses,sap-icon://meal,#F57373,true,true,2026-09-05T20:18:00Z,rpoothineedi,2026-09-05T20:18:00Z,rpoothineedi
bc4a21e7-47fe-4b52-8f6e-2ce1cfe7d114,Rent & Housing,2,Rent and housing related expenses,sap-icon://home,#9575CD,true,true,2026-09-05T20:18:00Z,rpoothineedi,2026-09-05T20:18:00Z,rpoothineedi
6e9f63f3-d94f-4729-8e4b-f2391f52f616,Transportation,2,Public transport fuel and travel expenses,sap-icon://car-rental,#64B5F6,false,true,2026-09-05T20:18:00Z,rpoothineedi,2026-09-05T20:18:00Z,rpoothineedi
e07a1b58-62fb-4a68-9a71-dedfe92ced31,Utilities,2,Electricity internet phone and household utilities,sap-icon://lightbulb,#4DB6AC,true,true,2026-09-05T20:18:00Z,rpoothineedi,2026-09-05T20:18:00Z,rpoothineedi
2a89b2bc-0d7b-4396-a473-24d324509458,Health,2,Medical pharmacy and healthcare expenses,sap-icon://stethoscope,#F06292,false,true,2026-09-05T20:18:00Z,rpoothineedi,2026-09-05T20:18:00Z,rpoothineedi
4cc3b06a-e853-43aa-a3f7-d6e1c1775b64,Shopping,2,Clothing electronics and general shopping expenses,sap-icon://cart,#FFB74D,false,true,2026-09-05T20:18:00Z,rpoothineedi,2026-09-05T20:18:00Z,rpoothineedi
8b1eb39a-83d8-47ec-9e51-f3987a8a2f4c,Entertainment,2,Movies subscriptions leisure and entertainment expenses,sap-icon://video,#BA68C8,false,true,2026-09-05T20:18:00Z,rpoothineedi,2026-09-05T20:18:00Z,rpoothineedi
07f2fb80-b2dc-463a-9277-083399290e21,Education,2,Courses books training and education expenses,sap-icon://education,#7986CB,false,true,2026-09-05T20:18:00Z,rpoothineedi,2026-09-05T20:18:00Z,rpoothineedi
f7b74ab0-483a-47f0-a62b-4b7451d9c7a2,Insurance,2,Insurance premiums and related expenses,sap-icon://shield,#90A4AE,true,true,2026-09-05T20:18:00Z,rpoothineedi,2026-09-05T20:18:00Z,rpoothineedi
0eb40c6d-6f3f-4604-a343-261db6c42286,Other Expenses,2,Expenses that do not belong to another category,sap-icon://overflow,#A1887F,false,true,2026-09-05T20:18:00Z,rpoothineedi,2026-09-05T20:18:00Z,rpoothineedi
41e4f117-b64a-40db-bcec-eb3143c80b2e,Salary,1,Salary and employment income,sap-icon://money-bills,#81C784,true,true,2026-09-05T20:18:00Z,rpoothineedi,2026-09-05T20:18:00Z,rpoothineedi
57fffcf7-eaf5-4698-aed7-3454ce8d1390,Bonus,1,Bonus and additional employment income,sap-icon://money-bills,#66BB6A,false,true,2026-09-05T20:18:00Z,rpoothineedi,2026-09-05T20:18:00Z,rpoothineedi
d89697de-9e16-4398-8797-bcafbf0a9116,Freelance Income,1,Income from freelance or contract work,sap-icon://briefcase,#4CAF50,false,true,2026-09-05T20:18:00Z,rpoothineedi,2026-09-05T20:18:00Z,rpoothineedi
97b5783d-4c40-48ba-9ad6-f8699fc58e24,Investment Income,1,Income from investments interest or dividends,sap-icon://line-chart,#26A69A,false,true,2026-09-05T20:18:00Z,rpoothineedi,2026-09-05T20:18:00Z,rpoothineedi
c8d11d90-2595-4809-84ac-5d32b55a8dd2,Other Income,1,Income that does not belong to another category,sap-icon://wallet,#4DD0E1,false,true,2026-09-05T20:18:00Z,rpoothineedi,2026-09-05T20:18:00Z,rpoothineedi
